	Observed	Shannon	Study	Unit	Compartment	Compartment_Unit	Day	Triplicate	Main_Analysis
Exp1_F2	117	3.382866935309	Exp1	Fecal	Fecal	Fecal	Fecal	A2	YES
Exp1_0A1	51	1.96034855172613	Exp1	Unit1	AC	AC1	1	NO	YES
Exp1_0A2	49	2.17544361950191	Exp1	Unit2	AC	AC2	1	NO	YES
Exp1_0D1	94	3.3660390725023	Exp1	Unit1	DC	DC1	1	NO	YES
Exp1_0D2	97	3.33866067310116	Exp1	Unit2	DC	DC2	1	NO	YES
Exp1_0T1	73	2.90444651362606	Exp1	Unit1	TC	TC1	1	NO	YES
Exp1_0T2	79	2.93088090316582	Exp1	Unit2	TC	TC2	1	NO	YES
Exp1_12A1_2	34	1.53554057728106	Exp1	Unit1	AC	AC1	12	A2	YES
Exp1_12A2_2	38	1.40374292501068	Exp1	Unit2	AC	AC2	12	A2	YES
Exp1_12D1_2	82	2.49835068898292	Exp1	Unit1	DC	DC1	12	A2	YES
Exp1_12D2_2	86	2.49878335030774	Exp1	Unit2	DC	DC2	12	A2	YES
Exp1_12T1_2	63	2.04457515432389	Exp1	Unit1	TC	TC1	12	A2	YES
Exp1_12T2_2	64	1.9269765901237	Exp1	Unit2	TC	TC2	12	A2	YES
Exp1_13A1	30	1.58343875485779	Exp1	Unit1	AC	AC1	13	NO	YES
Exp1_13A2	30	1.46582236628263	Exp1	Unit2	AC	AC2	13	NO	YES
Exp1_13D1	79	2.32265404390819	Exp1	Unit1	DC	DC1	13	NO	YES
Exp1_13D2	78	2.52700545677048	Exp1	Unit2	DC	DC2	13	NO	YES
Exp1_13T1	56	2.02939226510384	Exp1	Unit1	TC	TC1	13	NO	YES
Exp1_13T2	63	2.22925206230861	Exp1	Unit2	TC	TC2	13	NO	YES
Exp1_15A1	36	1.66047257346773	Exp1	Unit1	AC	AC1	15	NO	YES
Exp1_15A2	34	1.508764203411	Exp1	Unit2	AC	AC2	15	NO	YES
Exp1_15D1	78	2.45341015868023	Exp1	Unit1	DC	DC1	15	NO	YES
Exp1_15D2	77	2.52431411666415	Exp1	Unit2	DC	DC2	15	NO	YES
Exp1_15T1	60	2.34518415040468	Exp1	Unit1	TC	TC1	15	NO	YES
Exp1_15T2	63	2.13953304970182	Exp1	Unit2	TC	TC2	15	NO	YES
Exp1_16A1	36	1.7768849643792	Exp1	Unit1	AC	AC1	16	NO	YES
Exp1_16A2	37	1.57140851931724	Exp1	Unit2	AC	AC2	16	NO	YES
Exp1_16D1	68	2.4754291588907	Exp1	Unit1	DC	DC1	16	NO	YES
Exp1_16D2	71	2.39343277397165	Exp1	Unit2	DC	DC2	16	NO	YES
Exp1_16T1	65	2.27301470981679	Exp1	Unit1	TC	TC1	16	NO	YES
Exp1_16T2	63	2.19775519999371	Exp1	Unit2	TC	TC2	16	NO	YES
Exp1_17A1_2	35	1.80074583244912	Exp1	Unit1	AC	AC1	17	A2	YES
Exp1_17A2_2	33	1.64747863045992	Exp1	Unit2	AC	AC2	17	A2	YES
Exp1_17D1_2	71	2.41730261514647	Exp1	Unit1	DC	DC1	17	A2	YES
Exp1_17D2_2	72	2.57420081176182	Exp1	Unit2	DC	DC2	17	A2	YES
Exp1_17T1_2	62	2.34158824079247	Exp1	Unit1	TC	TC1	17	A2	YES
Exp1_17T2_2	60	2.15033456187027	Exp1	Unit2	TC	TC2	17	A2	YES
Exp1_20A1	35	1.66991354354335	Exp1	Unit1	AC	AC1	20	NO	YES
Exp1_20A2	34	1.71751943788661	Exp1	Unit2	AC	AC2	20	NO	YES
Exp1_20D1	64	2.21227884309224	Exp1	Unit1	DC	DC1	20	NO	YES
Exp1_20D2	72	2.50682955458795	Exp1	Unit2	DC	DC2	20	NO	YES
Exp1_20T1	54	2.19177953863554	Exp1	Unit1	TC	TC1	20	NO	YES
Exp1_20T2	60	2.23431007737484	Exp1	Unit2	TC	TC2	20	NO	YES
